,Latitude,Longitude,Name
0,33.58,-117.73,Aliso Viejo
1,33.83,-117.91,Anaheim
2,39.81,-101.04,Atwood
3,33.92,-117.89,Brea
4,33.87,-118.0,Buena Park
5,33.46,-117.67,Capistrano Beach
6,33.6,-117.87,Corona del Mar
7,33.66,-117.9,Costa Mesa
8,29.97,-95.7,Cypress
9,33.47,-117.7,Dana Point
10,8.52,-61.49,El Toro
11,33.68,-117.66,Foothill Ranch
12,33.7,-117.96,Fountain Valley
13,33.87,-117.93,Fullerton
14,33.77,-117.95,Garden Grove
15,33.68,-118.0,Huntington Beach
16,33.69,-117.83,Irvine
17,33.93,-117.94,La Habra
18,5.36,-74.39,La Palma
19,33.55,-117.64,Ladera Ranch
20,33.54,-117.78,Laguna Beach
21,33.59,-117.69,Laguna Hills
22,33.52,-117.71,Laguna Niguel
23,33.61,-117.72,Laguna Woods
24,42.26,-87.84,Lake Forest
25,33.8,-118.08,Los Alamitos
26,33.74,-117.99,Midway City
27,33.6,-117.66,Mission Viejo
28,33.62,-117.93,Newport Beach
29,-33.28,149.1,Orange
30,33.87,-117.86,Placentia
31,33.64,-117.6,Rancho Santa Margarita
32,33.43,-117.61,San Clemente
33,33.5,-117.66,San Juan Capistrano
34,13.99,-89.56,Santa Ana
35,33.74,-118.11,Seal Beach
36,50.88,-114.08,Silverado
37,32.13,-101.79,Stanton
38,33.72,-118.07,Sunset Beach
39,25.88,-80.13,Surfside
40,33.66,-117.59,Trabuco Canyon
41,33.75,-117.83,Tustin
42,33.81,-117.82,Villa Park
43,51.5,-0.14,Westminster
44,33.89,-117.83,Yorba Linda
